case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_1,71,200,96.61,REAL,2025-11-02T15:34:27
real_1,72,200,119.63,REAL,2025-11-02T15:34:27
real_1,73,200,109.31,REAL,2025-11-02T15:34:27
real_1,74,200,91.32,REAL,2025-11-02T15:34:27
real_1,75,200,95.6,REAL,2025-11-02T15:34:28
real_1,76,200,97.11,REAL,2025-11-02T15:34:28
real_1,77,200,96.87,REAL,2025-11-02T15:34:28
real_1,78,200,95.56,REAL,2025-11-02T15:34:28
real_1,79,200,94.16,REAL,2025-11-02T15:34:28
real_1,80,200,106.2,REAL,2025-11-02T15:34:28
real_1,81,200,101.99,REAL,2025-11-02T15:34:28
real_1,82,200,120.19,REAL,2025-11-02T15:34:28
real_1,83,200,94.31,REAL,2025-11-02T15:34:28
real_1,84,200,111.26,REAL,2025-11-02T15:34:28
real_1,85,200,96.19,REAL,2025-11-02T15:34:29
real_1,86,200,92.62,REAL,2025-11-02T15:34:29
real_1,87,200,93.34,REAL,2025-11-02T15:34:29
real_1,88,200,91.82,REAL,2025-11-02T15:34:29
real_1,89,200,95.31,REAL,2025-11-02T15:34:29
real_1,90,200,93.52,REAL,2025-11-02T15:34:29
real_1,91,200,96.03,REAL,2025-11-02T15:34:29
real_1,92,200,91.25,REAL,2025-11-02T15:34:29
real_1,93,200,99.67,REAL,2025-11-02T15:34:29
real_1,94,200,107.35,REAL,2025-11-02T15:34:29
real_1,95,200,99.77,REAL,2025-11-02T15:34:30
real_1,96,200,97.55,REAL,2025-11-02T15:34:30
real_1,97,200,92.67,REAL,2025-11-02T15:34:30
real_1,98,200,96.31,REAL,2025-11-02T15:34:30
real_1,99,200,121.37,REAL,2025-11-02T15:34:30
real_1,100,200,114.75,REAL,2025-11-02T15:34:30
real_2,1,200,106.86,REAL,2025-11-02T15:34:30
real_2,2,200,90.28,REAL,2025-11-02T15:34:30
real_2,3,200,100.43,REAL,2025-11-02T15:34:30
real_2,4,200,94.12,REAL,2025-11-02T15:34:30
real_2,5,200,89.08,REAL,2025-11-02T15:34:31
real_2,6,200,114.96,REAL,2025-11-02T15:34:31
real_2,7,200,97.72,REAL,2025-11-02T15:34:31
real_2,8,200,89.53,REAL,2025-11-02T15:34:31
real_2,9,200,96.06,REAL,2025-11-02T15:34:31
real_2,10,200,97.45,REAL,2025-11-02T15:34:31
real_2,11,200,114.52,REAL,2025-11-02T15:34:31
real_2,12,200,117.75,REAL,2025-11-02T15:34:31
real_2,13,200,98.03,REAL,2025-11-02T15:34:31
real_2,14,200,93.86,REAL,2025-11-02T15:34:31
real_2,15,200,96.72,REAL,2025-11-02T15:34:32
real_2,16,200,97.02,REAL,2025-11-02T15:34:32
real_2,17,200,99.23,REAL,2025-11-02T15:34:32
real_2,18,200,98.67,REAL,2025-11-02T15:34:32
real_2,19,200,90.64,REAL,2025-11-02T15:34:32
real_2,20,200,93.37,REAL,2025-11-02T15:34:32
real_2,21,200,97.75,REAL,2025-11-02T15:34:32
real_2,22,200,93.74,REAL,2025-11-02T15:34:32
real_2,23,200,99.81,REAL,2025-11-02T15:34:32
real_2,24,200,97.77,REAL,2025-11-02T15:34:32
real_2,25,200,96.93,REAL,2025-11-02T15:34:33
real_2,26,200,139.43,REAL,2025-11-02T15:34:33
real_2,27,200,113.42,REAL,2025-11-02T15:34:33
